,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF
0,Halve,Close,0.2,0.026859529316425323,0.4410597916133153,0.4840764282916143,0.3235294069569397,0.4840764282916143,0.9443733096122742,0.5276653037702795
1,Hold,Close,0.3333333333333333,0.7839381098747253,0.25049851546203533,0.5106382933816206,0.3655913933356458,0.5106382933816206,0.9392281174659729,0.4213778411304728
2,Open,Close,0.3333333333333333,0.720828115940094,0.9861874720073875,0.9677419304838711,0.9426229458196722,0.9677419304838711,0.9799503087997437,0.9862722453087747
3,Pick-Up,Close,0.25,0.5153879523277283,0.8968632568250136,0.7956989197311828,0.6721311425409836,0.7956989197311828,0.971706748008728,0.8616345378565291
4,Place-Down,Close,0.25,0.7576097846031189,0.8833861806432852,0.7868852409029832,0.6639004099385342,0.7868852409029832,0.9564881324768066,0.8484272147516454
5,Pour,Close,0.25,0.2032543271780014,0.9538667766095309,0.9468085056388639,0.9032258014529135,0.9468085056388639,0.9676932096481323,0.9816380547564552
6,Slice,Close,0.2222222222222222,0.38084927201271057,0.2604942166379796,0.38620689195148633,0.2659574422521504,0.38620689195148633,0.9227227568626404,0.3982740892523428
7,Wipe,Close,0.25,0.30312448740005493,0.8820478718751019,0.7526881670430108,0.6147540933606558,0.7526881670430108,0.9599198698997498,0.8398369836101506
8,Close,Halve,0.2,0.026859529316425323,6.0587814323247554e-05,0.27272727026285587,0.16042780574680432,0.27272727026285587,0.8886972665786743,0.09988506108970058
9,Hold,Halve,0.25,0.18634237349033356,6.0587814323247554e-05,0.27272727026285587,0.16042780574680432,0.27272727026285587,0.8884114027023315,0.10048057850446239
10,Open,Halve,0.25,0.13741867244243622,0.566685877074603,0.7052631530742383,0.6829268244261798,0.7052631530742383,0.9559003114700317,0.6757491875627433
11,Pick-Up,Halve,0.2,0.1682203710079193,7.573282812975214e-05,0.27272727026285587,0.16042780574680432,0.27272727026285587,0.8893333673477173,0.09899155206371475
12,Place-Down,Halve,0.2,0.11310732364654541,5.140058297023478e-06,0.1874999979309082,0.09836065432470364,0.1874999979309082,0.8688892126083374,0.07590537474190934
13,Pour,Halve,0.2,0.3157775104045868,0.7028107156662242,0.46226414596520116,0.356923071931077,0.46226414596520116,0.951923131942749,0.735233557857149
14,Slice,Halve,0.18181818181818182,0.37714821100234985,0.008675212082087382,0.3714285683153062,0.2461538438427351,0.3714285683153062,0.9105899930000305,0.18008892655278752
15,Wipe,Halve,0.2,0.5097622871398926,0.007567255661125157,0.25714285402959186,0.15384615153504275,0.25714285402959186,0.9052684307098389,0.15843696937906912
16,Close,Hold,0.3333333333333333,0.7839381098747253,0.7401953015212527,0.571428566441796,0.41353382960455654,0.571428566441796,0.952964186668396,0.7375526279716785
17,Halve,Hold,0.25,0.18634237349033356,0.9371164036473348,0.852459011393592,0.8226950304609929,0.852459011393592,0.9833206534385681,0.9388137673479928
18,Open,Hold,0.5,0.739703357219696,0.88077351234118,0.7391304297826087,0.6170212715957447,0.7391304297826087,0.9911397099494934,0.8668737162767975
19,Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.00879288023087894,0.427350423990065,0.2666666641807163,0.39316238980203094,0.9152835607528687,0.17931669255846205
20,Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.8485667572509296,0.8749999950086805,0.825503350719112,0.8749999950086805,0.9537427425384521,0.9373344606971221
21,Pour,Hold,0.3333333333333333,0.36530041694641113,0.6659721362190791,0.7106598934989307,0.5909090859447209,0.7106598934989307,0.949819028377533,0.8438027043014068
22,Slice,Hold,0.2857142857142857,0.36973074078559875,0.9380569240301707,0.8478260819565219,0.8226950304609929,0.8478260819565219,0.9893929362297058,0.9371305620889804
23,Wipe,Hold,0.3333333333333333,0.43972694873809814,0.7799283068515126,0.4999999950000001,0.3617021226595746,0.4999999950000001,0.9754171967506409,0.7640572268158597
24,Close,Open,0.3333333333333333,0.720828115940094,0.9861492080677762,0.9677419304838711,0.9426229458196722,0.9677419304838711,0.9980409741401672,0.9874472577784905
25,Halve,Open,0.25,0.13741867244243622,0.7579896331485502,0.666666661679594,0.5258620639788942,0.666666661679594,0.9592118859291077,0.7283592214812002
26,Hold,Open,0.5,0.739703357219696,0.3439763415397475,0.46258502936554213,0.30366491685096353,0.46258502936554213,0.9229987859725952,0.47514140442512537
27,Pick-Up,Open,0.3333333333333333,0.494068443775177,0.8946648627551441,0.8087431644002508,0.6970954306854221,0.8087431644002508,0.9705023169517517,0.8559930077273973
28,Place-Down,Open,0.3333333333333333,0.8066946268081665,0.8942907542422335,0.8087431644002508,0.6970954306854221,0.8087431644002508,0.9837318658828735,0.8574544296849572
29,Pour,Open,0.3333333333333333,0.2541566789150238,0.8568254094440275,0.9175257682043789,0.8846153796343197,0.9175257682043789,0.9655271768569946,0.9757535941380445
